営業キロ,SR,天夜交通,風神鉄道,風神地下鉄,堽壑鐵道,神北急行電鉄,白木メトロ,白木鉄道,長急電鉄,みなとライン,科山鉄道,御川縣鐡,古莉亜鉄道,河原鉄道,澪川地下鉄,珱澪高速鉄道,桐窪鉄道,宮古急行,珱羽地下鉄
44,2320,1710,2190,300,2740,1670,380,1760,1320,360,1640,2920,1960,2950,370,1050,500,1120,370
45,2360,1740,2230,300,2740,1700,380,1790,1340,360,1670,2980,2000,3010,370,1050,500,1130,370
46,2400,1770,2270,300,2740,1730,380,1820,1360,360,1700,3040,2040,3070,370,1050,500,1140,370
47,2440,1800,2310,300,2740,1760,380,1850,1380,360,1730,3100,2080,3130,370,1050,500,1150,370
48,2480,1830,2350,300,2740,1790,380,1880,1400,360,1760,3160,2120,3190,370,1050,500,1160,370
49,2520,1860,2390,300,2740,1820,380,1910,1420,360,1790,3220,2160,3250,370,1050,500,1170,370
50,2560,1890,2430,300,2740,1850,380,1940,1440,360,1820,3280,2200,3310,370,1050,500,1180,370
51,2600,1920,2470,300,2740,1880,380,1970,1460,360,1850,3340,2240,3370,370,1050,500,1190,370
52,2640,1950,2510,300,2740,1910,380,2000,1480,360,1880,3400,2280,3430,370,1050,500,1200,370
53,2680,1980,2550,300,2740,1940,380,2030,1500,360,1910,3460,2320,3490,370,1050,500,1210,370
54,2720,2010,2590,300,2740,1970,380,2060,1520,360,1940,3520,2360,3550,370,1050,500,1220,370
55,2760,2040,2630,300,2740,2000,380,2090,1540,360,1970,3580,2400,3610,370,1050,500,1230,370
56,2800,2070,2670,300,2740,2030,380,2120,1560,360,2000,3640,2440,3670,370,1050,500,1240,370
57,2840,2100,2710,300,2740,2060,380,2150,1580,360,2030,3700,2480,3730,370,1050,500,1250,370
58,2880,2130,2750,300,2740,2090,380,2180,1600,360,2060,3760,2520,3790,370,1050,500,1260,370
59,2920,2160,2790,300,2740,2120,380,2210,1620,360,2090,3820,2560,3850,370,1050,500,1270,370
60,2960,2190,2830,300,2740,2150,380,2240,1640,360,2120,3880,2600,3910,370,1050,500,1280,370
61,2990,2220,2870,300,2740,2180,380,2270,1660,360,2150,3940,2640,3970,370,1050,500,1290,370
62,3020,2250,2910,300,2740,2210,380,2300,1680,360,2180,4000,2680,4030,370,1050,500,1300,370
63,3050,2280,2950,300,2740,2240,380,2330,1700,360,2210,4060,2720,4090,370,1050,500,1310,370
64,3080,2310,2990,300,2740,2270,380,2360,1720,360,2240,4120,2760,4150,370,1050,500,1320,370
65,3110,2340,3030,300,2740,2300,380,2390,1740,360,2270,4180,2800,4210,370,1050,500,1330,370
66,3140,2370,3070,300,2740,2330,380,2420,1760,360,2300,4240,2840,4270,370,1050,500,1340,370
67,3170,2400,3110,300,2740,2360,380,2450,1780,360,2330,4300,2880,4330,370,1050,500,1350,370
68,3200,2430,3150,300,2740,2390,380,2480,1800,360,2360,4360,2920,4390,370,1050,500,1360,370
69,3230,2460,3190,300,2740,2420,380,2510,1820,360,2390,4420,2960,4450,370,1050,500,1370,370
70,3260,2490,3230,300,2740,2450,380,2540,1840,360,2420,4480,3000,4510,370,1050,500,1380,370
71,3290,2520,3270,300,2740,2480,380,2570,1860,360,2450,4540,3040,4570,370,1050,500,1390,370
72,3320,2550,3310,300,2740,2510,380,2600,1880,360,2480,4600,3080,4630,370,1050,500,1400,370
73,3350,2580,3350,300,2740,2540,380,2630,1900,360,2510,4660,3120,4690,370,1050,500,1410,370
74,3380,2610,3390,300,2740,2570,380,2660,1920,360,2540,4720,3160,4750,370,1050,500,1420,370
75,3410,2640,3430,300,2740,2600,380,2690,1940,360,2570,4780,3200,4810,370,1050,500,1430,370
76,3440,2670,3470,300,2740,2630,380,2720,1960,360,2600,4840,3240,4870,370,1050,500,1440,370
77,3470,2700,3510,300,2740,2660,380,2750,1980,360,2630,4900,3280,4930,370,1050,500,1450,370
78,3500,2730,3550,300,2740,2690,380,2780,2000,360,2660,4960,3320,4990,370,1050,500,1460,370
79,3530,2760,3590,300,2740,2720,380,2810,2020,360,2690,5020,3360,5050,370,1050,500,1470,370
80,3560,2790,3630,300,2740,2750,380,2840,2040,360,2720,5080,3400,5110,370,1050,500,1480,370
81,3580,2820,3670,300,2740,2780,380,2870,2060,360,2750,5140,3440,5170,370,1050,500,1490,370
82,3600,2850,3710,300,2740,2810,380,2900,2080,360,2780,5200,3480,5230,370,1050,500,1500,370
83,3620,2880,3750,300,2740,2840,380,2930,2100,360,2810,5260,3520,5290,370,1050,500,1510,370
84,3640,2910,3790,300,2740,2870,380,2960,2120,360,2840,5320,3560,5350,370,1050,500,1520,370
85,3660,2940,3830,300,2740,2900,380,2990,2140,360,2870,5380,3600,5410,370,1050,500,1530,370
86,3680,2970,3870,300,2740,2930,380,3020,2160,360,2900,5440,3640,5470,370,1050,500,1540,370
87,3700,3000,3910,300,2740,2960,380,3050,2180,360,2930,5500,3680,5530,370,1050,500,1550,370
88,3720,3030,3950,300,2740,2990,380,3080,2200,360,2960,5560,3720,5590,370,1050,500,1560,370
89,3740,3060,3990,300,2740,3020,380,3110,2220,360,2990,5620,3760,5650,370,1050,500,1570,370
90,3760,3090,4030,300,2740,3050,380,3140,2240,360,3020,5680,3800,5710,370,1050,500,1580,370
91,3780,3120,4070,300,2740,3080,380,3170,2260,360,3050,5740,3840,5770,370,1050,500,1590,370
92,3800,3150,4110,300,2740,3110,380,3200,2280,360,3080,5800,3880,5830,370,1050,500,1600,370
93,3820,3180,4150,300,2740,3140,380,3230,2300,360,3110,5860,3920,5890,370,1050,500,1610,370
94,3840,3210,4190,300,2740,3170,380,3260,2320,360,3140,5920,3960,5950,370,1050,500,1620,370
95,3860,3240,4230,300,2740,3200,380,3290,2340,360,3170,5980,4000,6010,370,1050,500,1630,370
96,3880,3270,4270,300,2740,3230,380,3320,2360,360,3200,6040,4040,6070,370,1050,500,1640,370
97,3900,3300,4310,300,2740,3260,380,3350,2380,360,3230,6100,4080,6130,370,1050,500,1650,370
98,3920,3330,4350,300,2740,3290,380,3380,2400,360,3260,6160,4120,6190,370,1050,500,1660,370
99,3940,3360,4390,300,2740,3320,380,3410,2420,360,3290,6220,4160,6250,370,1050,500,1670,370
100,3960,3390,4430,300,2740,3350,380,3440,2440,360,3320,6280,4200,6310,370,1050,500,1680,370
